district,crime_type,defendant_race,n_cases,mean_sentence,median_sentence
7,Stalking/Harassing,White,4,26.75,22.0
7,Tax,Black,15,23.471999999999998,18.0
7,Tax,Hispanic,95,21.14557894736842,15.0
7,Tax,Unknown,4,21.765,12.03
7,Tax,White,4,14.182500000000001,7.265000000000001
7,Unknown,Black,318,57.66650943396227,37.0
7,Unknown,Hispanic,363,48.932231404958685,37.0
7,Unknown,Unknown,29,39.07827586206896,24.0
7,Unknown,White,288,59.458194444444445,30.0
8,Admin of Justice,Black,18,222.50722222222223,174.0
8,Admin of Justice,Hispanic,13,214.84307692307692,140.23
8,Admin of Justice,Unknown,3,345.3333333333333,470.0
8,Admin of Justice,White,9,268.0,288.0
8,Antitrust,Unknown,1,10.0,10.0
8,Antitrust,White,2,15.015,15.015
8,Arson,Hispanic,5,132.60399999999998,98.66
8,Arson,Unknown,6,114.33333333333333,90.0
8,Assault,Black,9,115.05111111111111,60.0
8,Assault,Hispanic,23,126.82739130434781,120.0
8,Assault,Unknown,3,33.666666666666664,31.0
8,Assault,White,8,154.7625,120.0
8,Bribery/Corruption,Black,6,80.16666666666667,55.5
8,Bribery/Corruption,Hispanic,3,72.0,84.0
8,Bribery/Corruption,Unknown,4,111.1,42.165
8,Bribery/Corruption,White,6,41.505,32.5
8,Burglary/Trespass,Black,33,83.96969696969697,71.0
8,Burglary/Trespass,Hispanic,6,78.505,72.0
8,Burglary/Trespass,White,16,70.519375,61.5
8,Drug Trafficking,Hispanic,1,60.0,60.0
8,Drug Trafficking,White,8,116.99375,66.0
8,Embezzlement,Black,1368,57.01162280701754,36.0
8,Embezzlement,Hispanic,1839,47.406780859162595,33.33
8,Embezzlement,Unknown,63,27.45460317460317,18.0
8,Embezzlement,White,416,45.21069711538462,34.51
8,Environmental,Black,2,36.0,36.0
8,Environmental,Hispanic,6,29.560000000000002,39.0
8,Environmental,White,2,15.1,15.1
8,Extortion/Racketeering,Black,3,5.043333333333333,5.13
8,Extortion/Racketeering,Hispanic,1,6.0,6.0
8,Extortion/Racketeering,White,4,7.5775,2.36
8,Firearms,Black,488,96.00274590163934,60.0
8,Firearms,Hispanic,177,126.48683615819208,84.0
8,Firearms,Unknown,8,109.6425,42.535
8,Firearms,White,79,112.23164556962024,60.0
8,Fraud,Black,2,40.0,40.0
8,Fraud,Hispanic,3,42.94,36.0
8,Fraud,White,4,50.0,46.5
8,Immigration,Black,12,26.99,24.0
8,Immigration,Hispanic,7,25.065714285714286,15.0
8,Immigration,Unknown,3,19.996666666666666,12.03
8,Immigration,White,15,25.268666666666665,20.0
8,Kidnapping,Black,190,34.55689473684211,24.515
8,Kidnapping,Hispanic,99,21.57626262626263,12.03
8,Kidnapping,Unknown,94,25.314148936170216,18.0
8,Kidnapping,White,476,38.16987394957983,24.0
8,Larceny,Black,5,18.006,13.0
8,Larceny,Hispanic,1,21.0,21.0
8,Larceny,Unknown,2,36.5,36.5
8,Larceny,White,7,16.755714285714287,12.03
8,Manslaughter,Black,18,20.419444444444444,15.035
8,Manslaughter,Hispanic,18,16.459444444444443,14.5
8,Manslaughter,Unknown,5,22.718,24.0
8,Manslaughter,White,26,19.96923076923077,15.5
8,Money Laundering,Black,5,27.606,24.0
8,Money Laundering,Hispanic,5,24.2,27.0
8,Money Laundering,Unknown,6,12.06,10.15
8,Money Laundering,White,28,18.841785714285717,19.0
8,Murder,Black,16,21.193125000000002,19.5
8,Murder,Hispanic,15,13.882,12.03
8,Murder,Unknown,11,16.278181818181817,7.0
8,Murder,White,48,20.402708333333333,12.03
8,Obscenity/Other Sex,Black,22,27.80181818181818,16.46
8,Obscenity/Other Sex,Hispanic,156,34.4951282051282,30.0
8,Obscenity/Other Sex,Unknown,15,30.89466666666667,12.2
8,Obscenity/Other Sex,White,111,40.609009009009014,30.0
8,Other,Black,7,117.28571428571429,84.0
8,Other,Hispanic,8,186.5,70.0
8,Other,Unknown,4,44.25,47.0
8,Other,White,44,77.11431818181818,60.0
8,Robbery,Black,84,161.41142857142856,96.0
8,Robbery,Hispanic,106,133.76396226415093,96.5
8,Robbery,Unknown,23,132.22434782608696,78.0
8,Robbery,White,276,69.15282608695652,33.0
8,Sexual Abuse,Unknown,2,7.824999999999999,7.824999999999999
8,Sexual Abuse,White,16,7.4350000000000005,6.0
8,Stalking/Harassing,Hispanic,2,39.5,39.5
8,Stalking/Harassing,Unknown,3,124.0,120.0
8,Tax,Black,288,18.13392361111111,11.575
8,Tax,Hispanic,654,25.526758409785934,21.0
8,Tax,Unknown,89,8.158202247191012,2.53
8,Tax,White,70,19.537142857142857,12.03
8,Unknown,Black,577,61.11,33.26
8,Unknown,Hispanic,584,49.93409246575342,24.0
8,Unknown,Unknown,126,40.729365079365074,18.0
8,Unknown,White,453,52.1483885209713,30.0
9,Admin of Justice,Unknown,1,108.0,108.0
9,Admin of Justice,White,1,470.0,470.0
9,Arson,Black,1,60.0,60.0
9,Arson,White,2,246.0,246.0
9,Assault,Black,5,97.0,37.0
